pair	group_a	group_b	window	chrom	start	n_snps	n_windows	mean_window_fst	max_window_fst
K1_vs_K3	K1	K3	1:4100000	1	4100000	45	1	0.377008	0.377008
K1_vs_K3	K1	K3	1:4550000	1	4550000	27	1	0.3396	0.3396
K1_vs_K3	K1	K3	1:5100000	1	5100000	31	1	0.396451	0.396451
K1_vs_K3	K1	K3	1:20350000	1	20350000	39	1	0.40028	0.40028
K1_vs_K3	K1	K3	1:21000000	1	21000000	48	1	0.327237	0.327237
K1_vs_K3	K1	K3	3:6250000	3	6250000	37	1	0.385352	0.385352
K1_vs_K3	K1	K3	3:6750000	3	6750000	22	1	0.34588	0.34588
K1_vs_K3	K1	K3	3:17850000	3	17850000	77	1	0.338039	0.338039
K1_vs_K3	K1	K3	5:4300000	5	4300000	52	1	0.349194	0.349194
K1_vs_K3	K1	K3	5:6400000	5	6400000	23	1	0.383072	0.383072
K1_vs_K3	K1	K3	6:3500000	6	3500000	50	1	0.341936	0.341936
K1_vs_K3	K1	K3	6:6500000	6	6500000	24	1	0.448613	0.448613
K1_vs_K3	K1	K3	6:8200000	6	8200000	29	1	0.343905	0.343905
K1_vs_K3	K1	K3	6:8850000	6	8850000	87	1	0.346889	0.346889
K1_vs_K3	K1	K3	6:18400000	6	18400000	26	1	0.367582	0.367582
K1_vs_K3	K1	K3	7:25950000	7	25950000	28	1	0.346862	0.346862
K1_vs_K3	K1	K3	8:5250000	8	5250000	71	1	0.364097	0.364097
K1_vs_K3	K1	K3	8:10150000	8	10150000	36	1	0.384116	0.384116
K1_vs_K3	K1	K3	9:450000	9	450000	41	1	0.333643	0.333643
K1_vs_K3	K1	K3	9:1200000	9	1200000	38	1	0.332057	0.332057
K1_vs_K3	K1	K3	9:17850000	9	17850000	46	1	0.325908	0.325908
K1_vs_K3	K1	K3	11:7400000	11	7400000	24	1	0.343987	0.343987
K1_vs_K3	K1	K3	11:10850000	11	10850000	22	1	0.363584	0.363584
K1_vs_K3	K1	K3	12:17900000	12	17900000	82	1	0.336395	0.336395
K1_vs_K3	K1	K3	12:20200000	12	20200000	28	1	0.372742	0.372742
K1_vs_K3	K1	K3	13:4450000	13	4450000	28	1	0.352142	0.352142
K1_vs_K3	K1	K3	13:5900000	13	5900000	47	1	0.40916	0.40916
K1_vs_K3	K1	K3	13:6050000	13	6050000	24	1	0.400966	0.400966
K1_vs_K3	K1	K3	13:6950000	13	6950000	70	1	0.361139	0.361139
K1_vs_K3	K1	K3	13:26050000	13	26050000	37	1	0.331195	0.331195
K1_vs_K3	K1	K3	14:5450000	14	5450000	44	1	0.394505	0.394505
K1_vs_K3	K1	K3	14:6950000	14	6950000	30	1	0.385667	0.385667
K1_vs_K3	K1	K3	14:8700000	14	8700000	36	1	0.394909	0.394909
K1_vs_K3	K1	K3	14:11550000	14	11550000	30	1	0.376595	0.376595
K1_vs_K3	K1	K3	14:12200000	14	12200000	23	1	0.418704	0.418704
K1_vs_K3	K1	K3	14:12400000	14	12400000	42	1	0.394432	0.394432
K1_vs_K3	K1	K3	14:13000000	14	13000000	55	1	0.330842	0.330842
K1_vs_K3	K1	K3	14:13950000	14	13950000	54	1	0.332023	0.332023
K1_vs_K3	K1	K3	14:19450000	14	19450000	114	1	0.363898	0.363898
K1_vs_K3	K1	K3	14:19850000	14	19850000	41	1	0.339197	0.339197
K1_vs_K3	K1	K3	14:22700000	14	22700000	68	1	0.326698	0.326698
K1_vs_K3	K1	K3	14:23050000	14	23050000	71	1	0.344823	0.344823
K1_vs_K3	K1	K3	15:18550000	15	18550000	28	1	0.335453	0.335453
K1_vs_K3	K1	K3	16:2350000	16	2350000	65	1	0.33432	0.33432
K1_vs_K3	K1	K3	16:7900000	16	7900000	49	1	0.370151	0.370151
K1_vs_K3	K1	K3	16:8800000	16	8800000	76	1	0.362736	0.362736
K1_vs_K3	K1	K3	16:18500000	16	18500000	42	1	0.353015	0.353015
K1_vs_K3	K1	K3	17:9650000	17	9650000	35	1	0.329677	0.329677
K1_vs_K3	K1	K3	17:16300000	17	16300000	45	1	0.346313	0.346313
K1_vs_K3	K1	K3	18:1600000	18	1600000	62	1	0.342956	0.342956
K1_vs_K3	K1	K3	18:3800000	18	3800000	21	1	0.391863	0.391863
K1_vs_K3	K1	K3	18:6750000	18	6750000	42	1	0.340419	0.340419
K1_vs_K3	K1	K3	18:6950000	18	6950000	48	1	0.334349	0.334349
K1_vs_K3	K1	K3	18:24250000	18	24250000	24	1	0.346338	0.346338
K1_vs_K3	K1	K3	18:24400000	18	24400000	57	1	0.326178	0.326178
K1_vs_K3	K1	K3	19:3900000	19	3900000	46	1	0.430268	0.430268
K1_vs_K3	K1	K3	19:4050000	19	4050000	41	1	0.328092	0.328092
K1_vs_K3	K1	K3	19:5200000	19	5200000	33	1	0.366312	0.366312
K1_vs_K3	K1	K3	19:5600000	19	5600000	43	1	0.343423	0.343423
K1_vs_K4	K1	K4	3:200000	3	200000	22	1	0.286367	0.286367
K1_vs_K4	K1	K4	3:450000	3	450000	28	1	0.333067	0.333067
K1_vs_K4	K1	K4	3:1900000	3	1900000	30	1	0.328417	0.328417
K1_vs_K4	K1	K4	3:2150000	3	2150000	34	1	0.302485	0.302485
K1_vs_K4	K1	K4	3:2600000	3	2600000	31	1	0.349558	0.349558
K1_vs_K4	K1	K4	4:5550000	4	5550000	41	1	0.302278	0.302278
K1_vs_K4	K1	K4	4:13900000	4	13900000	65	1	0.313196	0.313196
K1_vs_K4	K1	K4	4:22950000	4	22950000	60	1	0.290367	0.290367
K1_vs_K4	K1	K4	4:23400000	4	23400000	45	1	0.305374	0.305374
K1_vs_K4	K1	K4	6:5950000	6	5950000	25	1	0.307317	0.307317
K1_vs_K4	K1	K4	6:6250000	6	6250000	22	1	0.341238	0.341238
K1_vs_K4	K1	K4	6:6500000	6	6500000	20	1	0.356115	0.356115
K1_vs_K4	K1	K4	6:12150000	6	12150000	20	1	0.315377	0.315377
K1_vs_K4	K1	K4	7:19950000	7	19950000	63	1	0.336593	0.336593
K1_vs_K4	K1	K4	7:20750000	7	20750000	20	1	0.311456	0.311456
K1_vs_K4	K1	K4	7:21800000	7	21800000	49	1	0.315705	0.315705
K1_vs_K4	K1	K4	7:23550000	7	23550000	21	1	0.29023	0.29023
K1_vs_K4	K1	K4	7:24900000	7	24900000	30	1	0.298485	0.298485
K1_vs_K4	K1	K4	7:25050000	7	25050000	46	1	0.301161	0.301161
K1_vs_K4	K1	K4	7:25200000	7	25200000	27	1	0.335143	0.335143
K1_vs_K4	K1	K4	9:450000	9	450000	40	1	0.370296	0.370296
K1_vs_K4	K1	K4	9:3050000	9	3050000	43	1	0.312898	0.312898
K1_vs_K4	K1	K4	9:3250000	9	3250000	20	1	0.295879	0.295879
K1_vs_K4	K1	K4	9:5050000	9	5050000	39	1	0.43199	0.43199
K1_vs_K4	K1	K4	10:4950000	10	4950000	34	1	0.303131	0.303131
K1_vs_K4	K1	K4	10:15500000	10	15500000	52	1	0.301331	0.301331
K1_vs_K4	K1	K4	10:16050000	10	16050000	104	1	0.299773	0.299773
K1_vs_K4	K1	K4	10:16500000	10	16500000	85	1	0.306379	0.306379
K1_vs_K4	K1	K4	11:3800000	11	3800000	34	1	0.316415	0.316415
K1_vs_K4	K1	K4	12:5300000	12	5300000	25	1	0.303952	0.303952
K1_vs_K4	K1	K4	12:18150000	12	18150000	91	1	0.287119	0.287119
K1_vs_K4	K1	K4	12:18950000	12	18950000	31	1	0.297783	0.297783
K1_vs_K4	K1	K4	12:20800000	12	20800000	64	1	0.297994	0.297994
K1_vs_K4	K1	K4	12:22600000	12	22600000	56	1	0.326982	0.326982
K1_vs_K4	K1	K4	13:2550000	13	2550000	37	1	0.301233	0.301233
K1_vs_K4	K1	K4	13:6950000	13	6950000	83	1	0.292776	0.292776
K1_vs_K4	K1	K4	13:25850000	13	25850000	33	1	0.352952	0.352952
K1_vs_K4	K1	K4	14:3100000	14	3100000	56	1	0.314302	0.314302
K1_vs_K4	K1	K4	14:6150000	14	6150000	33	1	0.291166	0.291166
K1_vs_K4	K1	K4	14:10550000	14	10550000	46	1	0.292643	0.292643
K1_vs_K4	K1	K4	14:11550000	14	11550000	28	1	0.345606	0.345606
K1_vs_K4	K1	K4	14:12200000	14	12200000	38	1	0.286364	0.286364
K1_vs_K4	K1	K4	14:13000000	14	13000000	71	1	0.301113	0.301113
K1_vs_K4	K1	K4	14:19450000	14	19450000	117	1	0.322284	0.322284
K1_vs_K4	K1	K4	14:19850000	14	19850000	40	1	0.29276	0.29276
K1_vs_K4	K1	K4	15:16000000	15	16000000	44	1	0.310054	0.310054
K1_vs_K4	K1	K4	16:900000	16	900000	56	1	0.320493	0.320493
K1_vs_K4	K1	K4	16:2600000	16	2600000	36	1	0.300357	0.300357
K1_vs_K4	K1	K4	16:7900000	16	7900000	52	1	0.30172	0.30172
K1_vs_K4	K1	K4	16:11300000	16	11300000	55	1	0.308055	0.308055
K1_vs_K4	K1	K4	16:12450000	16	12450000	46	1	0.327805	0.327805
K1_vs_K4	K1	K4	16:21800000	16	21800000	38	1	0.288147	0.288147
K1_vs_K4	K1	K4	17:10650000	17	10650000	44	1	0.291069	0.291069
K1_vs_K4	K1	K4	17:11650000	17	11650000	65	1	0.329185	0.329185
K1_vs_K4	K1	K4	18:7250000	18	7250000	78	1	0.293009	0.293009
K1_vs_K4	K1	K4	19:5600000	19	5600000	39	1	0.299056	0.299056
K1_vs_K5	K1	K5	1:4550000	1	4550000	30	1	0.287178	0.287178
K1_vs_K5	K1	K5	1:6150000	1	6150000	66	1	0.251199	0.251199
K1_vs_K5	K1	K5	1:14650000	1	14650000	65	1	0.240452	0.240452
K1_vs_K5	K1	K5	1:17150000	1	17150000	23	1	0.267809	0.267809
K1_vs_K5	K1	K5	1:23350000	1	23350000	24	1	0.254342	0.254342
K1_vs_K5	K1	K5	2:3800000	2	3800000	45	1	0.257545	0.257545
K1_vs_K5	K1	K5	2:4150000	2	4150000	30	1	0.237551	0.237551
K1_vs_K5	K1	K5	2:4300000	2	4300000	45	1	0.253504	0.253504
K1_vs_K5	K1	K5	2:4450000	2	4450000	27	1	0.267118	0.267118
K1_vs_K5	K1	K5	2:5150000	2	5150000	42	1	0.243303	0.243303
K1_vs_K5	K1	K5	3:1850000	3	1850000	32	1	0.244678	0.244678
K1_vs_K5	K1	K5	4:5400000	4	5400000	67	1	0.251449	0.251449
K1_vs_K5	K1	K5	4:5550000	4	5550000	55	1	0.303308	0.303308
K1_vs_K5	K1	K5	7:2000000	7	2000000	38	1	0.2413	0.2413
K1_vs_K5	K1	K5	8:10150000	8	10150000	50	1	0.246741	0.246741
K1_vs_K5	K1	K5	8:15900000	8	15900000	37	1	0.249105	0.249105
K1_vs_K5	K1	K5	8:16800000	8	16800000	32	1	0.254698	0.254698
K1_vs_K5	K1	K5	8:18150000	8	18150000	29	1	0.249526	0.249526
K1_vs_K5	K1	K5	9:450000	9	450000	46	1	0.354287	0.354287
K1_vs_K5	K1	K5	9:1200000	9	1200000	48	1	0.266688	0.266688
K1_vs_K5	K1	K5	9:1450000	9	1450000	43	1	0.322142	0.322142
K1_vs_K5	K1	K5	9:3250000	9	3250000	26	1	0.285938	0.285938
K1_vs_K5	K1	K5	11:3250000	11	3250000	63	1	0.257315	0.257315
K1_vs_K5	K1	K5	11:3800000	11	3800000	47	1	0.279981	0.279981
K1_vs_K5	K1	K5	11:4700000	11	4700000	59	1	0.26224	0.26224
K1_vs_K5	K1	K5	11:10750000	11	10750000	64	1	0.264941	0.264941
K1_vs_K5	K1	K5	11:11350000	11	11350000	71	1	0.239509	0.239509
K1_vs_K5	K1	K5	11:12650000	11	12650000	103	1	0.259652	0.259652
K1_vs_K5	K1	K5	11:14800000	11	14800000	95	1	0.273992	0.273992
K1_vs_K5	K1	K5	11:14950000	11	14950000	79	1	0.253606	0.253606
K1_vs_K5	K1	K5	12:4100000	12	4100000	36	1	0.238737	0.238737
K1_vs_K5	K1	K5	12:9200000	12	9200000	48	1	0.246116	0.246116
K1_vs_K5	K1	K5	13:2600000	13	2600000	42	1	0.259411	0.259411
K1_vs_K5	K1	K5	13:7650000	13	7650000	55	1	0.24832	0.24832
K1_vs_K5	K1	K5	13:16800000	13	16800000	48	1	0.240557	0.240557
K1_vs_K5	K1	K5	14:3100000	14	3100000	55	1	0.312057	0.312057
K1_vs_K5	K1	K5	14:6850000	14	6850000	22	1	0.242794	0.242794
K1_vs_K5	K1	K5	14:22500000	14	22500000	46	1	0.248324	0.248324
K1_vs_K5	K1	K5	14:22650000	14	22650000	50	1	0.252566	0.252566
K1_vs_K5	K1	K5	14:28000000	14	28000000	28	1	0.259551	0.259551
K1_vs_K5	K1	K5	15:22050000	15	22050000	29	1	0.257724	0.257724
K1_vs_K5	K1	K5	17:8250000	17	8250000	39	1	0.254393	0.254393
K1_vs_K5	K1	K5	18:8000000	18	8000000	54	1	0.242729	0.242729
K1_vs_K5	K1	K5	18:10350000	18	10350000	59	1	0.250832	0.250832
K1_vs_K5	K1	K5	18:10600000	18	10600000	34	1	0.271038	0.271038
K1_vs_K5	K1	K5	18:12100000	18	12100000	43	1	0.241662	0.241662
K1_vs_K6	K1	K6	1:2750000	1	2750000	44	1	0.226389	0.226389
K1_vs_K6	K1	K6	1:5550000	1	5550000	64	1	0.208925	0.208925
K1_vs_K6	K1	K6	1:12900000	1	12900000	60	1	0.205498	0.205498
K1_vs_K6	K1	K6	2:4900000	2	4900000	22	1	0.225876	0.225876
K1_vs_K6	K1	K6	2:5250000	2	5250000	59	1	0.212726	0.212726
K1_vs_K6	K1	K6	2:5500000	2	5500000	36	1	0.246229	0.246229
K1_vs_K6	K1	K6	2:5700000	2	5700000	70	1	0.206671	0.206671
K1_vs_K6	K1	K6	3:4100000	3	4100000	75	1	0.214547	0.214547
K1_vs_K6	K1	K6	3:5400000	3	5400000	67	1	0.215392	0.215392
K1_vs_K6	K1	K6	3:6050000	3	6050000	54	1	0.220612	0.220612
K1_vs_K6	K1	K6	4:5550000	4	5550000	55	1	0.213364	0.213364
K1_vs_K6	K1	K6	4:21850000	4	21850000	70	1	0.210668	0.210668
K1_vs_K6	K1	K6	4:22400000	4	22400000	82	1	0.221316	0.221316
K1_vs_K6	K1	K6	4:24500000	4	24500000	58	1	0.212129	0.212129
K1_vs_K6	K1	K6	5:4300000	5	4300000	62	1	0.202424	0.202424
K1_vs_K6	K1	K6	5:18600000	5	18600000	80	1	0.212392	0.212392
K1_vs_K6	K1	K6	6:3400000	6	3400000	43	1	0.243755	0.243755
K1_vs_K6	K1	K6	6:6500000	6	6500000	28	1	0.244332	0.244332
K1_vs_K6	K1	K6	6:7550000	6	7550000	54	1	0.218023	0.218023
K1_vs_K6	K1	K6	6:8850000	6	8850000	104	1	0.221802	0.221802
K1_vs_K6	K1	K6	6:21150000	6	21150000	49	1	0.242634	0.242634
K1_vs_K6	K1	K6	7:14350000	7	14350000	26	1	0.208044	0.208044
K1_vs_K6	K1	K6	7:18100000	7	18100000	55	1	0.228134	0.228134
K1_vs_K6	K1	K6	7:18500000	7	18500000	34	1	0.242092	0.242092
K1_vs_K6	K1	K6	7:20750000	7	20750000	20	1	0.235176	0.235176
K1_vs_K6	K1	K6	7:22050000	7	22050000	34	1	0.213758	0.213758
K1_vs_K6	K1	K6	7:22600000	7	22600000	28	1	0.223078	0.223078
K1_vs_K6	K1	K6	7:24350000	7	24350000	27	1	0.223579	0.223579
K1_vs_K6	K1	K6	8:11900000	8	11900000	47	1	0.209176	0.209176
K1_vs_K6	K1	K6	9:450000	9	450000	50	1	0.234739	0.234739
K1_vs_K6	K1	K6	9:1200000	9	1200000	50	1	0.278196	0.278196
K1_vs_K6	K1	K6	9:2300000	9	2300000	56	1	0.25451	0.25451
K1_vs_K6	K1	K6	9:3050000	9	3050000	64	1	0.230455	0.230455
K1_vs_K6	K1	K6	9:20800000	9	20800000	43	1	0.20252	0.20252
K1_vs_K6	K1	K6	13:2550000	13	2550000	40	1	0.249708	0.249708
K1_vs_K6	K1	K6	13:5500000	13	5500000	87	1	0.231416	0.231416
K1_vs_K6	K1	K6	13:6050000	13	6050000	33	1	0.206424	0.206424
K1_vs_K6	K1	K6	13:6950000	13	6950000	95	1	0.227437	0.227437
K1_vs_K6	K1	K6	14:4500000	14	4500000	78	1	0.231109	0.231109
K1_vs_K6	K1	K6	14:6100000	14	6100000	33	1	0.203298	0.203298
K1_vs_K6	K1	K6	14:6500000	14	6500000	52	1	0.29651	0.29651
K1_vs_K6	K1	K6	14:8700000	14	8700000	43	1	0.219109	0.219109
K1_vs_K6	K1	K6	14:10550000	14	10550000	75	1	0.216021	0.216021
K1_vs_K6	K1	K6	14:11400000	14	11400000	73	1	0.223289	0.223289
K1_vs_K6	K1	K6	14:11550000	14	11550000	49	1	0.217535	0.217535
K1_vs_K6	K1	K6	14:12200000	14	12200000	59	1	0.214215	0.214215
K1_vs_K6	K1	K6	14:12550000	14	12550000	39	1	0.246864	0.246864
K1_vs_K6	K1	K6	14:13950000	14	13950000	71	1	0.23669	0.23669
K1_vs_K6	K1	K6	16:4250000	16	4250000	44	1	0.208976	0.208976
K1_vs_K6	K1	K6	16:8000000	16	8000000	193	1	0.219529	0.219529
K1_vs_K6	K1	K6	16:15700000	16	15700000	63	1	0.209626	0.209626
K1_vs_K6	K1	K6	16:18250000	16	18250000	55	1	0.21889	0.21889
K1_vs_K6	K1	K6	17:8800000	17	8800000	31	1	0.224736	0.224736
K1_vs_K6	K1	K6	17:9650000	17	9650000	39	1	0.205637	0.205637
K1_vs_K6	K1	K6	17:11100000	17	11100000	52	1	0.227776	0.227776
K1_vs_K6	K1	K6	17:11700000	17	11700000	52	1	0.211757	0.211757
K1_vs_K6	K1	K6	17:12850000	17	12850000	39	1	0.234533	0.234533
K1_vs_K6	K1	K6	17:16200000	17	16200000	57	1	0.205729	0.205729
K1_vs_K6	K1	K6	18:10600000	18	10600000	36	1	0.214601	0.214601
K1_vs_K6	K1	K6	18:13750000	18	13750000	49	1	0.223423	0.223423
K1_vs_K6	K1	K6	18:28550000	18	28550000	84	1	0.21465	0.21465
K1_vs_K6	K1	K6	18:34750000	18	34750000	64	1	0.220491	0.220491
K1_vs_K7	K1	K7	1:5850000	1	5850000	55	1	0.254129	0.254129
K1_vs_K7	K1	K7	1:10900000	1	10900000	24	1	0.312774	0.312774
K1_vs_K7	K1	K7	1:11500000	1	11500000	64	1	0.241587	0.241587
K1_vs_K7	K1	K7	1:13450000	1	13450000	53	1	0.276187	0.276187
K1_vs_K7	K1	K7	1:17150000	1	17150000	20	1	0.288579	0.288579
K1_vs_K7	K1	K7	1:20200000	1	20200000	52	1	0.237232	0.237232
K1_vs_K7	K1	K7	2:5900000	2	5900000	72	1	0.241052	0.241052
K1_vs_K7	K1	K7	3:6050000	3	6050000	41	1	0.256523	0.256523
K1_vs_K7	K1	K7	4:1050000	4	1050000	43	1	0.249235	0.249235
K1_vs_K7	K1	K7	4:19350000	4	19350000	33	1	0.265867	0.265867
K1_vs_K7	K1	K7	5:5700000	5	5700000	67	1	0.260669	0.260669
K1_vs_K7	K1	K7	5:5850000	5	5850000	58	1	0.24774	0.24774
K1_vs_K7	K1	K7	5:6150000	5	6150000	64	1	0.274696	0.274696
K1_vs_K7	K1	K7	5:19750000	5	19750000	37	1	0.240412	0.240412
K1_vs_K7	K1	K7	5:20150000	5	20150000	78	1	0.254261	0.254261
K1_vs_K7	K1	K7	6:15500000	6	15500000	57	1	0.302225	0.302225
K1_vs_K7	K1	K7	6:17750000	6	17750000	40	1	0.240099	0.240099
K1_vs_K7	K1	K7	6:18050000	6	18050000	34	1	0.261332	0.261332
K1_vs_K7	K1	K7	6:21150000	6	21150000	37	1	0.260801	0.260801
K1_vs_K7	K1	K7	6:21400000	6	21400000	29	1	0.254918	0.254918
K1_vs_K7	K1	K7	7:26050000	7	26050000	65	1	0.259612	0.259612
K1_vs_K7	K1	K7	9:6750000	9	6750000	93	1	0.246703	0.246703
K1_vs_K7	K1	K7	10:6800000	10	6800000	88	1	0.245811	0.245811
K1_vs_K7	K1	K7	10:16450000	10	16450000	29	1	0.245214	0.245214
K1_vs_K7	K1	K7	11:3250000	11	3250000	55	1	0.252095	0.252095
K1_vs_K7	K1	K7	11:3800000	11	3800000	37	1	0.252185	0.252185
K1_vs_K7	K1	K7	11:10750000	11	10750000	65	1	0.254711	0.254711
K1_vs_K7	K1	K7	11:11350000	11	11350000	60	1	0.270084	0.270084
K1_vs_K7	K1	K7	11:12650000	11	12650000	93	1	0.246127	0.246127
K1_vs_K7	K1	K7	12:18950000	12	18950000	34	1	0.249552	0.249552
K1_vs_K7	K1	K7	13:5900000	13	5900000	59	1	0.242784	0.242784
K1_vs_K7	K1	K7	13:6300000	13	6300000	73	1	0.2392	0.2392
K1_vs_K7	K1	K7	14:1250000	14	1250000	54	1	0.248275	0.248275
K1_vs_K7	K1	K7	14:1550000	14	1550000	22	1	0.239365	0.239365
K1_vs_K7	K1	K7	14:8800000	14	8800000	30	1	0.256599	0.256599
K1_vs_K7	K1	K7	14:10550000	14	10550000	67	1	0.248469	0.248469
K1_vs_K7	K1	K7	14:11550000	14	11550000	49	1	0.253625	0.253625
K1_vs_K7	K1	K7	14:12200000	14	12200000	50	1	0.281671	0.281671
K1_vs_K7	K1	K7	14:12600000	14	12600000	57	1	0.24713	0.24713
K1_vs_K7	K1	K7	14:19000000	14	19000000	25	1	0.247786	0.247786
K1_vs_K7	K1	K7	15:15800000	15	15800000	61	1	0.243512	0.243512
K1_vs_K7	K1	K7	16:5150000	16	5150000	63	1	0.256338	0.256338
K1_vs_K7	K1	K7	16:5300000	16	5300000	86	1	0.278995	0.278995
K1_vs_K7	K1	K7	16:12400000	16	12400000	96	1	0.239276	0.239276
K1_vs_K7	K1	K7	16:17300000	16	17300000	69	1	0.29073	0.29073
K1_vs_K7	K1	K7	16:17500000	16	17500000	111	1	0.252357	0.252357
K1_vs_K7	K1	K7	17:9650000	17	9650000	33	1	0.29058	0.29058
K1_vs_K7	K1	K7	18:22700000	18	22700000	82	1	0.236209	0.236209
K1_vs_K7	K1	K7	18:23000000	18	23000000	28	1	0.236897	0.236897
K1_vs_K7	K1	K7	18:23300000	18	23300000	96	1	0.261893	0.261893
K1_vs_K7	K1	K7	18:34650000	18	34650000	56	1	0.275844	0.275844
K1_vs_K7	K1	K7	19:5600000	19	5600000	49	1	0.276489	0.276489
K1_vs_K7	K1	K7	19:6250000	19	6250000	55	1	0.277718	0.277718
K1_vs_K7	K1	K7	19:22700000	19	22700000	54	1	0.254862	0.254862
K1_vs_K7	K1	K7	19:22950000	19	22950000	56	1	0.241171	0.241171
K2_vs_K3	K2	K3	2:1950000	2	1950000	32	1	0.267116	0.267116
K2_vs_K3	K2	K3	2:4050000	2	4050000	23	1	0.250909	0.250909
K2_vs_K3	K2	K3	2:4550000	2	4550000	20	1	0.268205	0.268205
K2_vs_K3	K2	K3	2:6850000	2	6850000	80	1	0.253375	0.253375
K2_vs_K3	K2	K3	3:5250000	3	5250000	34	1	0.274812	0.274812
K2_vs_K3	K2	K3	3:5800000	3	5800000	50	1	0.264965	0.264965
K2_vs_K3	K2	K3	3:6000000	3	6000000	43	1	0.265186	0.265186
K2_vs_K3	K2	K3	3:6250000	3	6250000	48	1	0.305359	0.305359
K2_vs_K3	K2	K3	3:7200000	3	7200000	56	1	0.259201	0.259201
K2_vs_K3	K2	K3	3:7550000	3	7550000	51	1	0.255425	0.255425
