window	n_pairs	pairs	chrom	start	max_fst	min_snps	kind
14:5450000	4	K1_vs_K2,K1_vs_K3,K1_vs_K4,K4_vs_K7	14	5450000	0.394505	44	shared
11:10550000	4	K2_vs_K3,K3_vs_K5,K3_vs_K7,K6_vs_K7	11	10550000	0.393767	74	shared
14:6950000	4	K1_vs_K2,K1_vs_K3,K1_vs_K6,K4_vs_K6	14	6950000	0.385667	30	shared
8:10150000	4	K1_vs_K3,K1_vs_K5,K3_vs_K7,K6_vs_K7	8	10150000	0.384116	36	shared
8:10850000	4	K1_vs_K3,K2_vs_K5,K3_vs_K5,K5_vs_K6	8	10850000	0.379281	42	shared
19:5600000	4	K1_vs_K3,K1_vs_K4,K1_vs_K7,K3_vs_K4	19	5600000	0.372535	39	shared
13:27700000	4	K2_vs_K7,K3_vs_K7,K4_vs_K7,K6_vs_K7	13	27700000	0.371547	57	group-driven
8:11450000	4	K2_vs_K3,K2_vs_K5,K3_vs_K4,K3_vs_K7	8	11450000	0.360453	26	shared
3:8400000	4	K2_vs_K3,K3_vs_K4,K3_vs_K6,K3_vs_K7	3	8400000	0.356231	46	group-driven
6:20500000	4	K1_vs_K7,K2_vs_K7,K4_vs_K7,K5_vs_K7	6	20500000	0.351901	138	group-driven
1:3250000	4	K1_vs_K3,K1_vs_K6,K3_vs_K7,K6_vs_K7	1	3250000	0.351547	25	shared
5:4300000	4	K1_vs_K3,K1_vs_K6,K3_vs_K5,K3_vs_K7	5	4300000	0.349194	48	shared
7:18500000	4	K1_vs_K2,K1_vs_K6,K2_vs_K6,K2_vs_K7	7	18500000	0.342169	27	shared
8:16800000	4	K1_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K6	8	16800000	0.334298	32	group-driven
7:2300000	4	K1_vs_K5,K2_vs_K5,K3_vs_K7,K5_vs_K7	7	2300000	0.333441	22	shared
14:13950000	4	K1_vs_K3,K1_vs_K6,K3_vs_K4,K4_vs_K6	14	13950000	0.332023	54	shared
9:17850000	4	K1_vs_K3,K3_vs_K4,K3_vs_K6,K3_vs_K7	9	17850000	0.325908	46	group-driven
4:1050000	4	K1_vs_K7,K5_vs_K6,K5_vs_K7,K6_vs_K7	4	1050000	0.325497	43	shared
16:12700000	4	K1_vs_K2,K1_vs_K4,K1_vs_K6,K1_vs_K7	16	12700000	0.322819	133	group-driven
13:27800000	4	K2_vs_K7,K3_vs_K7,K5_vs_K7,K6_vs_K7	13	27800000	0.31259	22	group-driven
9:17800000	4	K2_vs_K4,K2_vs_K6,K3_vs_K4,K3_vs_K6	9	17800000	0.311258	45	shared
8:12250000	4	K2_vs_K4,K2_vs_K7,K3_vs_K4,K4_vs_K7	8	12250000	0.307173	86	shared
13:7650000	4	K1_vs_K2,K1_vs_K4,K1_vs_K5,K1_vs_K7	13	7650000	0.304222	55	group-driven
8:17650000	4	K1_vs_K5,K2_vs_K5,K4_vs_K5,K5_vs_K7	8	17650000	0.3003	61	group-driven
11:2900000	4	K3_vs_K4,K4_vs_K5,K5_vs_K6,K5_vs_K7	11	2900000	0.298029	25	shared
6:21400000	4	K1_vs_K2,K1_vs_K7,K2_vs_K4,K2_vs_K6	6	21400000	0.297928	29	shared
8:21450000	4	K2_vs_K3,K2_vs_K4,K2_vs_K7,K4_vs_K7	8	21450000	0.297438	35	shared
17:8950000	4	K2_vs_K4,K3_vs_K4,K4_vs_K5,K4_vs_K7	17	8950000	0.296848	46	group-driven
9:3250000	4	K1_vs_K2,K1_vs_K4,K1_vs_K5,K2_vs_K6	9	3250000	0.295879	20	shared
2:4150000	4	K1_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K7	2	4150000	0.293328	30	group-driven
2:4900000	4	K1_vs_K2,K1_vs_K6,K2_vs_K5,K5_vs_K6	2	4900000	0.293222	21	shared
4:22950000	4	K1_vs_K4,K3_vs_K6,K4_vs_K7,K6_vs_K7	4	22950000	0.292755	60	shared
14:17350000	4	K2_vs_K7,K4_vs_K7,K5_vs_K6,K5_vs_K7	14	17350000	0.291708	60	shared
4:850000	4	K2_vs_K3,K2_vs_K7,K3_vs_K5,K5_vs_K6	4	850000	0.290014	35	shared
3:9600000	4	K2_vs_K3,K2_vs_K4,K3_vs_K6,K4_vs_K6	3	9600000	0.28947	71	shared
8:14300000	4	K2_vs_K4,K2_vs_K6,K4_vs_K6,K4_vs_K7	8	14300000	0.289314	44	shared
7:21500000	4	K2_vs_K3,K3_vs_K5,K3_vs_K7,K4_vs_K7	7	21500000	0.288581	20	shared
1:17150000	4	K1_vs_K2,K1_vs_K5,K1_vs_K7,K6_vs_K7	1	17150000	0.288579	20	shared
6:5000000	4	K1_vs_K5,K4_vs_K5,K5_vs_K6,K5_vs_K7	6	5000000	0.282497	25	group-driven
17:7600000	4	K2_vs_K5,K4_vs_K5,K4_vs_K6,K6_vs_K7	17	7600000	0.2817	43	shared
9:14150000	4	K1_vs_K2,K2_vs_K3,K2_vs_K6,K2_vs_K7	9	14150000	0.2815	109	group-driven
2:1950000	4	K2_vs_K3,K2_vs_K5,K3_vs_K5,K3_vs_K6	2	1950000	0.279589	32	shared
11:2500000	4	K2_vs_K4,K2_vs_K5,K3_vs_K5,K5_vs_K6	11	2500000	0.279409	23	shared
3:5100000	4	K1_vs_K2,K2_vs_K4,K2_vs_K6,K4_vs_K6	3	5100000	0.274265	34	shared
7:22400000	4	K1_vs_K6,K2_vs_K3,K2_vs_K4,K2_vs_K6	7	22400000	0.258755	38	shared
3:6050000	4	K1_vs_K6,K1_vs_K7,K2_vs_K6,K2_vs_K7	3	6050000	0.256523	41	shared
17:8250000	4	K1_vs_K5,K2_vs_K4,K4_vs_K5,K4_vs_K6	17	8250000	0.254393	39	shared
13:1300000	4	K1_vs_K2,K2_vs_K3,K2_vs_K4,K2_vs_K6	13	1300000	0.250123	33	group-driven
2:5500000	4	K1_vs_K2,K1_vs_K6,K2_vs_K5,K5_vs_K6	2	5500000	0.249461	32	shared
17:11100000	4	K1_vs_K2,K1_vs_K6,K4_vs_K5,K4_vs_K6	17	11100000	0.249244	46	shared
9:5050000	3	K1_vs_K4,K1_vs_K7,K4_vs_K5	9	5050000	0.43199	39	shared
7:24250000	3	K1_vs_K2,K1_vs_K3,K1_vs_K4	7	24250000	0.415348	67	group-driven
7:24350000	3	K1_vs_K2,K1_vs_K4,K1_vs_K6	7	24350000	0.415348	27	group-driven
4:13900000	3	K1_vs_K3,K1_vs_K4,K1_vs_K6	4	13900000	0.415077	65	group-driven
8:12600000	3	K2_vs_K4,K3_vs_K4,K4_vs_K7	8	12600000	0.401638	40	group-driven
1:20800000	3	K1_vs_K3,K3_vs_K5,K3_vs_K6	1	20800000	0.393711	37	group-driven
3:1850000	3	K1_vs_K5,K3_vs_K4,K4_vs_K6	3	1850000	0.387685	26	shared
14:12550000	3	K1_vs_K6,K3_vs_K4,K3_vs_K6	14	12550000	0.364131	23	shared
11:10850000	3	K1_vs_K3,K3_vs_K5,K3_vs_K7	11	10850000	0.363584	22	group-driven
6:21100000	3	K1_vs_K2,K1_vs_K3,K1_vs_K5	6	21100000	0.361603	129	group-driven
18:7250000	3	K1_vs_K3,K1_vs_K4,K2_vs_K3	18	7250000	0.358885	78	shared
3:2600000	3	K1_vs_K2,K1_vs_K4,K4_vs_K6	3	2600000	0.349558	31	shared
18:2100000	3	K1_vs_K3,K2_vs_K3,K3_vs_K4	18	2100000	0.349196	33	group-driven
6:3500000	3	K1_vs_K3,K3_vs_K4,K3_vs_K7	6	3500000	0.34783	50	group-driven
11:7400000	3	K1_vs_K3,K3_vs_K5,K3_vs_K7	11	7400000	0.343987	24	group-driven
18:6750000	3	K1_vs_K3,K3_vs_K7,K6_vs_K7	18	6750000	0.342505	42	shared
9:19800000	3	K1_vs_K2,K2_vs_K5,K2_vs_K7	9	19800000	0.33847	73	group-driven
1:11550000	3	K3_vs_K4,K3_vs_K7,K4_vs_K7	1	11550000	0.336887	83	group-driven
1:23600000	3	K2_vs_K4,K3_vs_K4,K4_vs_K6	1	23600000	0.334778	41	group-driven
2:6850000	3	K2_vs_K3,K3_vs_K4,K3_vs_K6	2	6850000	0.33371	66	group-driven
1:3300000	3	K1_vs_K6,K3_vs_K7,K6_vs_K7	1	3300000	0.331441	65	shared
5:23600000	3	K2_vs_K7,K3_vs_K7,K6_vs_K7	5	23600000	0.329884	20	group-driven
11:3400000	3	K3_vs_K4,K3_vs_K5,K5_vs_K6	11	3400000	0.324616	28	shared
18:7850000	3	K1_vs_K5,K3_vs_K4,K3_vs_K5	18	7850000	0.322611	38	shared
14:17950000	3	K3_vs_K7,K4_vs_K7,K5_vs_K7	14	17950000	0.322189	84	group-driven
9:1450000	3	K1_vs_K5,K2_vs_K5,K4_vs_K5	9	1450000	0.322142	39	group-driven
11:4950000	3	K1_vs_K5,K3_vs_K7,K5_vs_K7	11	4950000	0.320571	161	shared
11:5000000	3	K1_vs_K5,K3_vs_K7,K5_vs_K7	11	5000000	0.320571	161	shared
19:5750000	3	K1_vs_K2,K2_vs_K3,K3_vs_K6	19	5750000	0.320409	34	shared
16:5300000	3	K1_vs_K7,K2_vs_K7,K4_vs_K7	16	5300000	0.31833	79	group-driven
14:5500000	3	K1_vs_K4,K2_vs_K7,K4_vs_K7	14	5500000	0.317425	44	shared
1:9850000	3	K3_vs_K7,K4_vs_K6,K4_vs_K7	1	9850000	0.315367	41	shared
4:21500000	3	K1_vs_K4,K1_vs_K5,K1_vs_K6	4	21500000	0.314427	64	group-driven
4:21550000	3	K1_vs_K4,K1_vs_K5,K1_vs_K6	4	21550000	0.314427	64	group-driven
14:3100000	3	K1_vs_K2,K1_vs_K4,K1_vs_K5	14	3100000	0.314302	55	group-driven
14:1100000	3	K2_vs_K3,K3_vs_K4,K5_vs_K6	14	1100000	0.312105	34	shared
18:12450000	3	K3_vs_K4,K3_vs_K5,K3_vs_K7	18	12450000	0.31195	26	group-driven
7:6900000	3	K2_vs_K3,K3_vs_K6,K3_vs_K7	7	6900000	0.311369	53	group-driven
11:10750000	3	K1_vs_K5,K1_vs_K7,K3_vs_K5	11	10750000	0.309988	64	shared
3:4100000	3	K1_vs_K4,K1_vs_K6,K1_vs_K7	3	4100000	0.30935	75	group-driven
6:13500000	3	K1_vs_K2,K2_vs_K3,K2_vs_K4	6	13500000	0.309321	45	group-driven
1:22550000	3	K1_vs_K5,K3_vs_K5,K4_vs_K5	1	22550000	0.307011	104	group-driven
1:23350000	3	K1_vs_K5,K3_vs_K4,K4_vs_K5	1	23350000	0.304038	20	shared
4:5550000	3	K1_vs_K4,K1_vs_K5,K1_vs_K6	4	5550000	0.303308	41	group-driven
18:5200000	3	K3_vs_K5,K5_vs_K6,K5_vs_K7	18	5200000	0.302806	33	group-driven
14:28000000	3	K1_vs_K5,K3_vs_K5,K5_vs_K7	14	28000000	0.299852	25	group-driven
2:5050000	3	K1_vs_K2,K2_vs_K5,K5_vs_K6	2	5050000	0.299644	257	shared
2:5100000	3	K1_vs_K2,K2_vs_K5,K5_vs_K6	2	5100000	0.299644	257	shared
9:600000	3	K1_vs_K2,K1_vs_K5,K4_vs_K5	9	600000	0.29894	41	shared
14:7450000	3	K3_vs_K5,K4_vs_K6,K5_vs_K6	14	7450000	0.293784	26	shared
1:12450000	3	K4_vs_K7,K5_vs_K6,K5_vs_K7	1	12450000	0.293173	67	shared
14:19000000	3	K1_vs_K7,K2_vs_K3,K2_vs_K4	14	19000000	0.288988	25	shared
8:20000000	3	K1_vs_K2,K2_vs_K4,K2_vs_K5	8	20000000	0.288452	28	group-driven
1:12750000	3	K2_vs_K6,K2_vs_K7,K3_vs_K7	1	12750000	0.288243	139	shared
11:12750000	3	K2_vs_K3,K3_vs_K5,K3_vs_K7	11	12750000	0.288177	83	group-driven
16:22150000	3	K2_vs_K7,K4_vs_K6,K4_vs_K7	16	22150000	0.28804	65	shared
9:3300000	3	K1_vs_K2,K2_vs_K6,K6_vs_K7	9	3300000	0.281758	52	shared
17:7550000	3	K4_vs_K5,K4_vs_K6,K6_vs_K7	17	7550000	0.2817	89	shared
9:14100000	3	K1_vs_K2,K2_vs_K3,K2_vs_K6	9	14100000	0.2815	109	group-driven
15:22050000	3	K1_vs_K5,K2_vs_K4,K4_vs_K5	15	22050000	0.280097	29	shared
9:4300000	3	K1_vs_K2,K1_vs_K7,K4_vs_K6	9	4300000	0.279596	58	shared
10:11750000	3	K2_vs_K4,K4_vs_K6,K4_vs_K7	10	11750000	0.27348	57	group-driven
18:10600000	3	K1_vs_K5,K1_vs_K6,K2_vs_K5	18	10600000	0.271038	34	shared
14:6850000	3	K1_vs_K2,K1_vs_K5,K1_vs_K6	14	6850000	0.270287	22	group-driven
11:11350000	3	K1_vs_K5,K1_vs_K7,K3_vs_K5	11	11350000	0.270084	60	shared
2:4450000	3	K1_vs_K5,K2_vs_K5,K5_vs_K6	2	4450000	0.267118	27	group-driven
3:6000000	3	K2_vs_K3,K2_vs_K6,K2_vs_K7	3	6000000	0.265186	43	group-driven
3:5800000	3	K2_vs_K3,K2_vs_K6,K2_vs_K7	3	5800000	0.264965	50	group-driven
2:5700000	3	K1_vs_K2,K1_vs_K6,K2_vs_K7	2	5700000	0.264815	65	shared
14:1200000	3	K2_vs_K5,K5_vs_K6,K5_vs_K7	14	1200000	0.260702	78	group-driven
11:12650000	3	K1_vs_K5,K1_vs_K7,K3_vs_K5	11	12650000	0.260379	93	shared
14:13350000	3	K2_vs_K4,K4_vs_K6,K4_vs_K7	14	13350000	0.259949	22	group-driven
9:2300000	3	K1_vs_K6,K5_vs_K6,K6_vs_K7	9	2300000	0.25451	56	group-driven
8:9200000	3	K1_vs_K2,K2_vs_K5,K2_vs_K6	8	9200000	0.253512	31	group-driven
13:7050000	3	K1_vs_K2,K1_vs_K5,K1_vs_K7	13	7050000	0.253483	103	group-driven
14:1550000	3	K1_vs_K2,K1_vs_K7,K2_vs_K3	14	1550000	0.253069	22	shared
17:17350000	3	K3_vs_K6,K5_vs_K7,K6_vs_K7	17	17350000	0.252987	40	shared
18:8450000	3	K2_vs_K3,K2_vs_K6,K5_vs_K6	18	8450000	0.249427	29	shared
7:8700000	3	K1_vs_K2,K2_vs_K6,K2_vs_K7	7	8700000	0.24792	88	group-driven
10:17550000	3	K1_vs_K2,K2_vs_K3,K2_vs_K7	10	17550000	0.24763	26	group-driven
7:21850000	3	K1_vs_K6,K2_vs_K6,K5_vs_K6	7	21850000	0.244241	48	group-driven
2:4600000	3	K2_vs_K5,K3_vs_K6,K5_vs_K6	2	4600000	0.24326	24	shared
4:2100000	3	K2_vs_K4,K2_vs_K6,K5_vs_K6	4	2100000	0.240564	24	shared
1:20200000	3	K1_vs_K7,K3_vs_K6,K6_vs_K7	1	20200000	0.237232	52	shared
7:22050000	3	K1_vs_K6,K2_vs_K4,K2_vs_K6	7	22050000	0.23291	31	shared
10:5700000	3	K2_vs_K4,K2_vs_K5,K2_vs_K7	10	5700000	0.228495	54	group-driven
1:18800000	3	K2_vs_K6,K4_vs_K6,K6_vs_K7	1	18800000	0.215677	55	group-driven
7:7550000	3	K2_vs_K6,K2_vs_K7,K3_vs_K6	7	7550000	0.214984	26	shared
9:18600000	3	K2_vs_K5,K2_vs_K6,K2_vs_K7	9	18600000	0.210469	72	group-driven
19:3900000	2	K1_vs_K2,K1_vs_K3	19	3900000	0.430268	46	group-driven
4:13850000	2	K1_vs_K3,K1_vs_K6	4	13850000	0.415077	92	group-driven
7:24150000	2	K1_vs_K3,K3_vs_K5	7	24150000	0.410646	40	group-driven
13:5900000	2	K1_vs_K3,K1_vs_K7	13	5900000	0.40916	47	group-driven
8:12650000	2	K3_vs_K4,K4_vs_K7	8	12650000	0.401638	60	group-driven
1:5100000	2	K1_vs_K3,K3_vs_K6	1	5100000	0.396451	31	group-driven
18:3800000	2	K1_vs_K3,K3_vs_K7	18	3800000	0.391863	21	group-driven
16:12400000	2	K1_vs_K3,K1_vs_K7	16	12400000	0.389089	96	group-driven
16:12450000	2	K1_vs_K3,K1_vs_K4	16	12450000	0.389089	46	group-driven
3:1900000	2	K1_vs_K4,K3_vs_K4	3	1900000	0.387685	30	group-driven
5:6400000	2	K1_vs_K3,K3_vs_K5	5	6400000	0.383072	23	group-driven
19:2550000	2	K3_vs_K4,K3_vs_K6	19	2550000	0.382704	36	group-driven
19:2600000	2	K3_vs_K4,K3_vs_K7	19	2600000	0.382704	33	group-driven
1:4100000	2	K1_vs_K3,K3_vs_K6	1	4100000	0.377008	45	group-driven
14:6400000	2	K1_vs_K4,K4_vs_K7	14	6400000	0.37686	90	group-driven
14:6450000	2	K1_vs_K4,K4_vs_K7	14	6450000	0.37686	90	group-driven
12:20200000	2	K1_vs_K3,K3_vs_K7	12	20200000	0.372742	28	group-driven
19:5500000	2	K3_vs_K4,K4_vs_K6	19	5500000	0.372535	65	group-driven
6:18400000	2	K1_vs_K3,K2_vs_K3	6	18400000	0.367582	25	group-driven
8:5250000	2	K1_vs_K2,K1_vs_K3	8	5250000	0.364097	71	group-driven
14:19450000	2	K1_vs_K3,K1_vs_K4	14	19450000	0.363898	114	group-driven
16:8800000	2	K1_vs_K2,K1_vs_K3	16	8800000	0.362736	76	group-driven
16:18500000	2	K1_vs_K3,K3_vs_K7	16	18500000	0.353015	42	group-driven
13:25850000	2	K1_vs_K4,K4_vs_K7	13	25850000	0.352952	33	group-driven
1:12400000	2	K3_vs_K7,K4_vs_K7	1	12400000	0.350829	73	group-driven
18:2000000	2	K1_vs_K3,K2_vs_K3	18	2000000	0.349196	63	group-driven
18:2050000	2	K1_vs_K3,K2_vs_K3	18	2050000	0.349196	63	group-driven
6:3450000	2	K3_vs_K4,K3_vs_K7	6	3450000	0.34783	98	group-driven
9:650000	2	K1_vs_K4,K1_vs_K5	9	650000	0.347033	92	group-driven
6:8850000	2	K1_vs_K3,K1_vs_K6	6	8850000	0.346889	87	group-driven
6:15500000	2	K1_vs_K7,K4_vs_K7	6	15500000	0.346421	52	group-driven
17:16300000	2	K1_vs_K3,K3_vs_K5	17	16300000	0.346313	45	group-driven
3:6750000	2	K1_vs_K3,K2_vs_K3	3	6750000	0.34588	22	group-driven
6:8200000	2	K1_vs_K3,K2_vs_K5	6	8200000	0.343905	29	shared
18:1600000	2	K1_vs_K3,K3_vs_K7	18	1600000	0.342956	62	group-driven
11:9950000	2	K3_vs_K5,K3_vs_K7	11	9950000	0.341689	27	group-driven
3:12600000	2	K2_vs_K4,K3_vs_K4	3	12600000	0.340004	55	group-driven
1:4550000	2	K1_vs_K3,K1_vs_K5	1	4550000	0.3396	27	group-driven
14:19850000	2	K1_vs_K3,K1_vs_K4	14	19850000	0.339197	40	group-driven
1:11500000	2	K1_vs_K7,K4_vs_K7	1	11500000	0.336887	64	group-driven
7:19950000	2	K1_vs_K2,K1_vs_K4	7	19950000	0.336593	63	group-driven
